"idDonneesCentrale","temps","compteurEnergie","irradiance_en_watt_par_surface","idCentrale_id"
95,"2024-03-19 07:25:00+01",NULL,"0.00",2
96,"2024-03-19 07:30:00+01",NULL,"0.00",2
97,"2024-03-19 07:35:00+01",NULL,"0.00",2
98,"2024-03-19 07:40:00+01",NULL,"0.00",2
99,"2024-03-19 07:45:00+01",NULL,"0.00",2
100,"2024-03-19 07:50:00+01",NULL,"0.00",2
101,"2024-03-19 07:55:00+01",NULL,"0.00",2
102,"2024-03-19 08:00:00+01",NULL,"0.57",2
103,"2024-03-19 08:05:00+01",NULL,"0.00",2
104,"2024-03-19 08:10:00+01",NULL,"0.00",2
105,"2024-03-19 08:15:00+01",NULL,"3.73",2
106,"2024-03-19 08:20:00+01",NULL,"0.00",2
107,"2024-03-19 08:25:00+01",NULL,"0.00",2
108,"2024-03-19 08:30:00+01",NULL,"9.21",2
109,"2024-03-19 08:35:00+01",NULL,"0.00",2
110,"2024-03-19 08:40:00+01",NULL,"0.00",2
111,"2024-03-19 08:45:00+01",NULL,"17.96",2
112,"2024-03-19 08:50:00+01",NULL,"0.00",2
113,"2024-03-19 08:55:00+01",NULL,"0.00",2
114,"2024-03-19 09:00:00+01",NULL,"29.88",2
115,"2024-03-19 09:05:00+01",NULL,"0.00",2
116,"2024-03-19 09:10:00+01",NULL,"0.00",2
117,"2024-03-19 09:15:00+01",NULL,"43.03",2
118,"2024-03-19 09:20:00+01",NULL,"0.00",2
119,"2024-03-19 09:25:00+01",NULL,"0.00",2
120,"2024-03-19 09:30:00+01",NULL,"65.19",2
121,"2024-03-19 09:35:00+01",NULL,"0.00",2
122,"2024-03-19 09:40:00+01",NULL,"0.00",2
123,"2024-03-19 09:45:00+01",NULL,"82.66",2
124,"2024-03-19 09:50:00+01",NULL,"0.00",2
125,"2024-03-19 09:55:00+01",NULL,"0.00",2
126,"2024-03-19 10:00:00+01",NULL,"77.47",2
127,"2024-03-19 10:05:00+01",NULL,"0.00",2
128,"2024-03-19 10:10:00+01",NULL,"0.00",2
129,"2024-03-19 10:15:00+01",NULL,"73.13",2
130,"2024-03-19 10:20:00+01",NULL,"0.00",2
131,"2024-03-19 10:25:00+01",NULL,"0.00",2
132,"2024-03-19 10:30:00+01",NULL,"94.94",2
133,"2024-03-19 10:35:00+01",NULL,"0.00",2
134,"2024-03-19 10:40:00+01",NULL,"0.00",2
135,"2024-03-19 10:45:00+01",NULL,"118.45",2
136,"2024-03-19 10:50:00+01",NULL,"0.00",2
137,"2024-03-19 10:55:00+01",NULL,"0.00",2
138,"2024-03-19 11:00:00+01",NULL,"125.29",2
139,"2024-03-19 11:05:00+01",NULL,"0.00",2
140,"2024-03-19 11:10:00+01",NULL,"0.00",2
141,"2024-03-19 11:15:00+01",NULL,"146.37",2
142,"2024-03-19 11:20:00+01",NULL,"0.00",2
143,"2024-03-19 11:25:00+01",NULL,"0.00",2
144,"2024-03-19 11:30:00+01",NULL,"174.93",2
145,"2024-03-19 11:35:00+01",NULL,"0.00",2
146,"2024-03-19 11:40:00+01",NULL,"0.00",2
147,"2024-03-19 11:45:00+01",NULL,"191.87",2
148,"2024-03-19 11:50:00+01",NULL,"0.00",2
149,"2024-03-19 11:55:00+01",NULL,"0.00",2
150,"2024-03-19 12:00:00+01",NULL,"203.39",2
151,"2024-03-19 12:05:00+01",NULL,"0.00",2
152,"2024-03-19 12:10:00+01",NULL,"0.00",2
153,"2024-03-19 12:15:00+01",NULL,"210.86",2
154,"2024-03-19 12:20:00+01",NULL,"0.00",2
155,"2024-03-19 12:25:00+01",NULL,"0.00",2
156,"2024-03-19 12:30:00+01",NULL,"218.26",2
157,"2024-03-19 12:35:00+01",NULL,"0.00",2
158,"2024-03-19 12:40:00+01",NULL,"0.00",2
159,"2024-03-19 12:45:00+01",NULL,"222.44",2
160,"2024-03-19 12:50:00+01",NULL,"0.00",2
161,"2024-03-19 12:55:00+01",NULL,"0.00",2
162,"2024-03-19 13:30:00+01",NULL,"210.39",2
163,"2024-03-19 13:35:00+01",NULL,"0.00",2
164,"2024-03-19 13:40:00+01",NULL,"0.00",2
165,"2024-03-19 13:45:00+01",NULL,"193.56",2
166,"2024-03-19 13:50:00+01",NULL,"0.00",2
167,"2024-03-19 13:55:00+01",NULL,"0.00",2
168,"2024-03-19 14:00:00+01",NULL,"174.54",2
169,"2024-03-19 14:05:00+01",NULL,"0.00",2
170,"2024-03-19 14:10:00+01",NULL,"0.00",2
171,"2024-03-19 14:15:00+01",NULL,"152.78",2
172,"2024-03-19 14:20:00+01",NULL,"0.00",2
173,"2024-03-19 14:25:00+01",NULL,"0.00",2
174,"2024-03-19 14:30:00+01",NULL,"145.63",2
175,"2024-03-19 14:35:00+01",NULL,"0.00",2
176,"2024-03-19 14:40:00+01",NULL,"0.00",2
177,"2024-03-19 14:45:00+01",NULL,"148.11",2
178,"2024-03-19 14:50:00+01",NULL,"0.00",2
179,"2024-03-19 14:55:00+01",NULL,"0.00",2
180,"2024-03-19 15:00:00+01",NULL,"187.17",2
181,"2024-03-19 15:05:00+01",NULL,"0.00",2
182,"2024-03-19 15:10:00+01",NULL,"0.00",2
183,"2024-03-19 15:15:00+01",NULL,"202.45",2
184,"2024-03-19 15:20:00+01",NULL,"0.00",2
185,"2024-03-19 15:25:00+01",NULL,"0.00",2
186,"2024-03-19 15:30:00+01",NULL,"187.34",2
187,"2024-03-19 15:35:00+01",NULL,"0.00",2
188,"2024-03-19 15:40:00+01",NULL,"0.00",2
189,"2024-03-19 15:45:00+01",NULL,"195.75",2
190,"2024-03-19 15:50:00+01",NULL,"0.00",2
191,"2024-03-19 15:55:00+01",NULL,"0.00",2
192,"2024-03-19 16:00:00+01",NULL,"168.78",2
193,"2024-03-19 16:05:00+01",NULL,"0.00",2
194,"2024-03-19 16:10:00+01",NULL,"0.00",2
195,"2024-03-19 16:15:00+01",NULL,"116.86",2
196,"2024-03-19 16:20:00+01",NULL,"0.00",2
197,"2024-03-19 16:25:00+01",NULL,"0.00",2
198,"2024-03-19 16:30:00+01",NULL,"66.98",2
199,"2024-03-19 16:35:00+01",NULL,"0.00",2
200,"2024-03-19 16:40:00+01",NULL,"0.00",2
201,"2024-03-19 16:45:00+01",NULL,"59.60",2
202,"2024-03-19 16:50:00+01",NULL,"0.00",2
203,"2024-03-19 16:55:00+01",NULL,"0.00",2
204,"2024-03-19 17:00:00+01",NULL,"72.55",2
205,"2024-03-19 17:05:00+01",NULL,"0.00",2
206,"2024-03-19 17:10:00+01",NULL,"0.00",2
207,"2024-03-19 17:15:00+01",NULL,"74.87",2
208,"2024-03-19 17:20:00+01",NULL,"0.00",2
209,"2024-03-19 17:25:00+01",NULL,"0.00",2
210,"2024-03-19 17:30:00+01",NULL,"88.66",2
211,"2024-03-19 17:35:00+01",NULL,"0.00",2
212,"2024-03-19 17:40:00+01",NULL,"0.00",2
213,"2024-03-19 17:45:00+01",NULL,"99.63",2
214,"2024-03-19 17:50:00+01",NULL,"0.00",2
215,"2024-03-19 17:55:00+01",NULL,"0.00",2
216,"2024-03-19 18:00:00+01",NULL,"85.90",2
217,"2024-03-19 18:05:00+01",NULL,"0.00",2
218,"2024-03-19 18:10:00+01",NULL,"0.00",2
219,"2024-03-19 18:15:00+01",NULL,"72.02",2
220,"2024-03-19 18:20:00+01",NULL,"0.00",2
221,"2024-03-19 18:25:00+01",NULL,"0.00",2
222,"2024-03-19 18:30:00+01",NULL,"61.32",2
223,"2024-03-19 18:35:00+01",NULL,"0.00",2
224,"2024-03-19 18:40:00+01",NULL,"0.00",2
225,"2024-03-19 18:45:00+01",NULL,"46.18",2
226,"2024-03-19 18:50:00+01",NULL,"0.00",2
227,"2024-03-19 18:55:00+01",NULL,"0.00",2
228,"2024-03-19 19:00:00+01",NULL,"31.49",2
229,"2024-03-19 19:05:00+01",NULL,"0.00",2
230,"2024-03-19 19:10:00+01",NULL,"0.00",2
231,"2024-03-19 19:15:00+01",NULL,"18.91",2
232,"2024-03-19 19:20:00+01",NULL,"0.00",2
233,"2024-03-19 19:25:00+01",NULL,"0.00",2
234,"2024-03-19 19:30:00+01",NULL,"8.05",2
235,"2024-03-19 19:35:00+01",NULL,"0.00",2
236,"2024-03-19 19:40:00+01",NULL,"0.00",2
237,"2024-03-19 19:45:00+01",NULL,"2.30",2
238,"2024-03-19 19:50:00+01",NULL,"0.00",2
239,"2024-03-19 19:55:00+01",NULL,"0.00",2
240,"2024-03-19 20:00:00+01",NULL,"0.08",2
241,"2024-03-19 20:05:00+01",NULL,"0.00",2
242,"2024-03-19 20:10:00+01",NULL,"0.00",2
243,"2024-03-19 20:15:00+01",NULL,"0.00",2
244,"2024-03-19 20:20:00+01",NULL,"0.00",2
245,"2024-03-19 20:25:00+01",NULL,"0.00",2
246,"2024-03-19 20:30:00+01",NULL,"0.00",2
247,"2024-03-19 20:35:00+01",NULL,"0.00",2
248,"2024-03-19 20:40:00+01",NULL,"0.00",2
249,"2024-03-19 20:45:00+01",NULL,"0.00",2
250,"2024-03-19 20:50:00+01",NULL,"0.00",2
251,"2024-03-19 20:55:00+01",NULL,"0.00",2
252,"2024-03-19 21:00:00+01",NULL,"0.00",2
253,"2024-03-19 21:05:00+01",NULL,"0.00",2
254,"2024-03-19 21:10:00+01",NULL,"0.00",2
255,"2024-03-19 21:15:00+01",NULL,"0.00",2
256,"2024-03-19 21:20:00+01",NULL,"0.00",2
257,"2024-03-19 21:25:00+01",NULL,"0.00",2
258,"2024-03-19 21:30:00+01",NULL,"0.00",2
259,"2024-03-19 21:35:00+01",NULL,"0.00",2
260,"2024-03-19 21:40:00+01",NULL,"0.00",2
261,"2024-03-19 21:45:00+01",NULL,"0.00",2
262,"2024-03-19 21:50:00+01",NULL,"0.00",2
263,"2024-03-19 21:55:00+01",NULL,"0.00",2
264,"2024-03-19 22:00:00+01",NULL,"0.00",2
265,"2024-03-19 22:05:00+01",NULL,"0.00",2
266,"2024-03-19 22:10:00+01",NULL,"0.00",2
267,"2024-03-19 22:15:00+01",NULL,"0.00",2
268,"2024-03-19 22:20:00+01",NULL,"0.00",2
269,"2024-03-19 22:25:00+01",NULL,"0.00",2
270,"2024-03-19 22:30:00+01",NULL,"0.00",2
271,"2024-03-19 22:35:00+01",NULL,"0.00",2
272,"2024-03-19 07:17:00+01",NULL,"0.00",3
273,"2024-03-19 07:27:00+01",NULL,"0.00",3
274,"2024-03-19 07:37:00+01",NULL,"0.00",3
275,"2024-03-19 07:47:00+01",NULL,"0.00",3
276,"2024-03-19 07:57:00+01",NULL,"0.00",3
277,"2024-03-19 08:07:00+01",NULL,"0.00",3
278,"2024-03-19 08:17:00+01",NULL,"0.00",3
279,"2024-03-19 08:27:00+01",NULL,"0.00",3
280,"2024-03-19 08:37:00+01",NULL,"0.00",3
281,"2024-03-19 08:47:00+01",NULL,"0.00",3
282,"2024-03-19 08:57:00+01",NULL,"0.00",3
283,"2024-03-19 09:07:00+01",NULL,"0.00",3
284,"2024-03-19 09:17:00+01",NULL,"0.00",3
285,"2024-03-19 09:27:00+01",NULL,"0.00",3
286,"2024-03-19 09:37:00+01",NULL,"0.00",3
287,"2024-03-19 09:47:00+01",NULL,"0.00",3
288,"2024-03-19 09:57:00+01",NULL,"0.00",3
289,"2024-03-19 10:07:00+01",NULL,"0.00",3
290,"2024-03-19 10:17:00+01",NULL,"0.00",3
291,"2024-03-19 10:27:00+01",NULL,"0.00",3
292,"2024-03-19 10:37:00+01",NULL,"0.00",3
293,"2024-03-19 10:47:00+01",NULL,"0.00",3
294,"2024-03-19 10:57:00+01",NULL,"0.00",3
295,"2024-03-19 11:07:00+01",NULL,"0.00",3
296,"2024-03-19 11:17:00+01",NULL,"0.00",3
297,"2024-03-19 11:27:00+01",NULL,"0.00",3
298,"2024-03-19 11:37:00+01",NULL,"0.00",3
299,"2024-03-19 11:47:00+01",NULL,"0.00",3
300,"2024-03-19 11:57:00+01",NULL,"0.00",3
301,"2024-03-19 12:07:00+01",NULL,"0.00",3
302,"2024-03-19 12:17:00+01",NULL,"0.00",3
303,"2024-03-19 12:27:00+01",NULL,"0.00",3
304,"2024-03-19 12:37:00+01",NULL,"0.00",3
305,"2024-03-19 12:47:00+01",NULL,"0.00",3
306,"2024-03-19 12:57:00+01",NULL,"0.00",3
307,"2024-03-19 15:07:00+01",NULL,"0.00",3
308,"2024-03-19 15:17:00+01",NULL,"0.00",3
309,"2024-03-19 15:27:00+01",NULL,"0.00",3
