reference,Centrale,inverter.name,Invertername Corrected,Inverter num,inverter.serial,inverter.model,inverter.data.address,enabled,puissance Nominale (kW)
P000187,Gobbini Thopaudor ,Onduleur 1 (104.5 kWc),Onduleur 1,1,104740004,LTI/LTI/PVM 450-100,192.168.36.240,true
P000187,Gobbini Thopaudor ,Onduleur 2 (73.92 kWc),Onduleur 2,2,104740012,LTI/LTI/PVM 450-068,192.168.36.240,true
P000187,Gobbini Thopaudor ,Onduleur 3 (66 kWc),Onduleur 3,3,105040043,LTI/LTI/PVM 450-068,192.168.36.240,true
P000187,Gobbini Thopaudor ,Onduleur 4 (55.44 kWc),Onduleur 4,4,104340125,LTI/LTI/PVM 450-047,192.168.36.240,true
P000187,Gobbini Thopaudor ,Onduleur 5 (57.2 kWc),Onduleur 5,5,104340164,LTI/LTI/PVM 450-047,192.168.36.240,true
P000187,Gobbini Thopaudor ,Onduleur 6 (108.68 kWc),Onduleur 6,6,104340119,LTI/LTI/PVM 450-100,192.168.36.240,true
P000187,Gobbini Thopaudor ,Onduleur 7 (66 kWc),Onduleur 7,7,110240072,LTI/LTI/PVM 450-068,192.168.36.240,true
P000187,Gobbini Thopaudor ,Onduleur 8 (73.92 kWc),Onduleur 8,8,104340126,LTI/LTI/PVM 450-068,192.168.36.240,true
P000187,Gobbini Thopaudor ,Onduleur 9 (110 kWc),Onduleur 9,9,101350383,LTI/LTI/PVM 450-100,192.168.36.240,true
P000276,Ferme du Layon,Onduleur 1,Onduleur 1,1,111540054,LTI/LTI/PVM 450-100,192.168.36.110,true
P000276,Ferme du Layon,Onduleur 2,Onduleur 2,2,113040005,LTI/LTI/PVM 450-047,192.168.36.126,true
P000305,Surya Toulouse,Onduleur 1,Onduleur 1,1,onduleur1,DELTA/DELTA/M88H,onduleur1,true
P000307,Irradiance Cornus,Onduleur Bergerie (33 kWc), Bergerie,1,110340008,LTI/LTI/PVM 450-033,192.168.36.206,true
P000307,Irradiance Cornus,Onduleur Bât 1 neuf, Bât 1 neuf,2,104340048,LTI/LTI/PVM 450-047,192.168.36.164,true
P000307,Irradiance Cornus,Onduleur Bât 3 , Bât 3 ,3,111140056,LTI/LTI/PVM 450-047,192.168.36.106,true
