nom;puissanceInstallee;nombreOnduleurs;typeCalcul
ATN;2470;11;REDEN
JADAS;2953;3;EOS
LYCEE RESTAT;1057;11;ALBIOMA
SAINT MARCEL;616;20;ENERYO
