Unnamed: 0,Date,IsDayOff
0.0,2023-01-01,True
1.0,2023-01-02,False
2.0,2023-01-03,False
3.0,2023-01-04,False
4.0,2023-01-05,False
5.0,2023-01-06,False
6.0,2023-01-07,True
7.0,2023-01-08,True
8.0,2023-01-09,False
9.0,2023-01-10,False
10.0,2023-01-11,False
11.0,2023-01-12,False
12.0,2023-01-13,False
13.0,2023-01-14,True
14.0,2023-01-15,True
15.0,2023-01-16,False
16.0,2023-01-17,False
17.0,2023-01-18,False
18.0,2023-01-19,False
19.0,2023-01-20,False
20.0,2023-01-21,True
21.0,2023-01-22,True
22.0,2023-01-23,False
23.0,2023-01-24,False
24.0,2023-01-25,False
25.0,2023-01-26,False
26.0,2023-01-27,False
27.0,2023-01-28,True
28.0,2023-01-29,True
29.0,2023-01-30,False
30.0,2023-01-31,False
31.0,2023-02-01,False
32.0,2023-02-02,False
33.0,2023-02-03,False
34.0,2023-02-04,True
35.0,2023-02-05,True
36.0,2023-02-06,False
37.0,2023-02-07,False
38.0,2023-02-08,False
39.0,2023-02-09,False
40.0,2023-02-10,False
41.0,2023-02-11,True
42.0,2023-02-12,True
43.0,2023-02-13,False
44.0,2023-02-14,False
45.0,2023-02-15,False
46.0,2023-02-16,False
47.0,2023-02-17,False
48.0,2023-02-18,True
49.0,2023-02-19,True
50.0,2023-02-20,False
51.0,2023-02-21,False
52.0,2023-02-22,False
53.0,2023-02-23,False
54.0,2023-02-24,False
55.0,2023-02-25,True
56.0,2023-02-26,True
57.0,2023-02-27,False
58.0,2023-02-28,False
59.0,2023-03-01,False
60.0,2023-03-02,False
61.0,2023-03-03,False
62.0,2023-03-04,True
63.0,2023-03-05,True
64.0,2023-03-06,False
65.0,2023-03-07,False
66.0,2023-03-08,False
67.0,2023-03-09,False
68.0,2023-03-10,False
69.0,2023-03-11,True
70.0,2023-03-12,True
71.0,2023-03-13,False
72.0,2023-03-14,False
73.0,2023-03-15,False
74.0,2023-03-16,False
75.0,2023-03-17,False
76.0,2023-03-18,True
77.0,2023-03-19,True
78.0,2023-03-20,False
79.0,2023-03-21,False
80.0,2023-03-22,False
81.0,2023-03-23,False
82.0,2023-03-24,False
83.0,2023-03-25,True
84.0,2023-03-26,True
85.0,2023-03-27,False
86.0,2023-03-28,False
87.0,2023-03-29,False
88.0,2023-03-30,False
89.0,2023-03-31,False
90.0,2023-04-01,True
91.0,2023-04-02,True
92.0,2023-04-03,False
93.0,2023-04-04,False
94.0,2023-04-05,False
95.0,2023-04-06,False
96.0,2023-04-07,False
97.0,2023-04-08,True
98.0,2023-04-09,True
99.0,2023-04-10,True
100.0,2023-04-11,False
101.0,2023-04-12,False
102.0,2023-04-13,False
103.0,2023-04-14,False
104.0,2023-04-15,True
105.0,2023-04-16,True
106.0,2023-04-17,False
107.0,2023-04-18,False
108.0,2023-04-19,False
109.0,2023-04-20,False
110.0,2023-04-21,False
111.0,2023-04-22,True
112.0,2023-04-23,True
113.0,2023-04-24,False
114.0,2023-04-25,False
115.0,2023-04-26,False
116.0,2023-04-27,False
117.0,2023-04-28,False
118.0,2023-04-29,True
119.0,2023-04-30,True
120.0,2023-05-01,True
121.0,2023-05-02,False
122.0,2023-05-03,False
123.0,2023-05-04,False
124.0,2023-05-05,False
125.0,2023-05-06,True
126.0,2023-05-07,True
127.0,2023-05-08,True
128.0,2023-05-09,False
129.0,2023-05-10,False
130.0,2023-05-11,False
131.0,2023-05-12,False
132.0,2023-05-13,True
133.0,2023-05-14,True
134.0,2023-05-15,False
135.0,2023-05-16,False
136.0,2023-05-17,False
137.0,2023-05-18,True
138.0,2023-05-19,False
139.0,2023-05-20,True
140.0,2023-05-21,True
141.0,2023-05-22,False
142.0,2023-05-23,False
143.0,2023-05-24,False
144.0,2023-05-25,False
145.0,2023-05-26,False
146.0,2023-05-27,True
147.0,2023-05-28,True
148.0,2023-05-29,True
149.0,2023-05-30,False
150.0,2023-05-31,False
151.0,2023-06-01,False
152.0,2023-06-02,False
153.0,2023-06-03,True
154.0,2023-06-04,True
155.0,2023-06-05,False
156.0,2023-06-06,False
157.0,2023-06-07,False
158.0,2023-06-08,False
159.0,2023-06-09,False
160.0,2023-06-10,True
161.0,2023-06-11,True
162.0,2023-06-12,False
163.0,2023-06-13,False
164.0,2023-06-14,False
165.0,2023-06-15,False
166.0,2023-06-16,False
167.0,2023-06-17,True
168.0,2023-06-18,True
169.0,2023-06-19,False
170.0,2023-06-20,False
171.0,2023-06-21,False
172.0,2023-06-22,False
173.0,2023-06-23,False
174.0,2023-06-24,True
175.0,2023-06-25,True
176.0,2023-06-26,False
177.0,2023-06-27,False
178.0,2023-06-28,False
,2023-06-28,False
,2023-06-29,False
,2023-06-30,False
,2023-07-01,True
,2023-07-02,True
,2023-07-03,False
,2023-07-04,False
,2023-07-05,False
,2023-07-06,False
,2023-07-07,False
,2023-07-08,True
,2023-07-09,True
,2023-07-10,False
,2023-07-11,False
,2023-07-12,False
,2023-07-13,False
,2023-07-14,True
,2023-07-15,True
,2023-07-16,True
,2023-07-17,False
,2023-07-18,False
,2023-07-19,False
,2023-07-20,False
,2023-07-21,False
,2023-07-22,True
,2023-07-23,True
,2023-07-24,False
,2023-07-25,False
,2023-07-26,False
,2023-07-27,False
,2023-07-28,False
,2023-07-29,True
,2023-07-30,True
,2023-07-31,False
,2023-08-01,False
,2023-08-02,False
,2023-08-03,False
,2023-08-04,False
,2023-08-05,True
,2023-08-06,True
,2023-08-07,False
,2023-08-08,False
,2023-08-09,False
,2023-08-10,False
,2023-08-11,False
,2023-08-12,True
,2023-08-13,True
,2023-08-14,False
,2023-08-15,True
,2023-08-16,False
,2023-08-17,False
,2023-08-18,False
,2023-08-19,True
,2023-08-20,True
,2023-08-21,False
,2023-08-22,False
,2023-08-23,False
,2023-08-24,False
,2023-08-25,False
,2023-08-26,True
,2023-08-27,True
,2023-08-28,False
,2023-08-29,False
,2023-08-30,False
,2023-08-31,False
,2023-09-01,False
,2023-09-02,True
,2023-09-03,True
,2023-09-04,False
,2023-09-05,False
,2023-09-06,False
,2023-09-07,False
,2023-09-08,False
,2023-09-09,True
,2023-09-10,True
,2023-09-11,False
,2023-09-12,False
,2023-09-13,False
,2023-09-14,False
,2023-09-15,False
,2023-09-16,True
,2023-09-17,True
,2023-09-18,False
,2023-09-19,False
,2023-09-20,False
,2023-09-21,False
,2023-09-22,False
,2023-09-23,True
,2023-09-24,True
,2023-09-25,False
,2023-09-26,False
,2023-09-27,False
,2023-09-28,False
,2023-09-29,False
,2023-09-30,True
,2023-10-01,True
,2023-10-02,False
,2023-10-03,False
,2023-10-04,False
,2023-10-05,False
,2023-10-06,False
,2023-10-07,True
,2023-10-08,True
,2023-10-09,False
,2023-10-10,False
,2023-10-11,False
,2023-10-11,False
,2023-10-12,False
,2023-10-13,False
,2023-10-13,False
,2023-10-14,True
,2023-10-15,True
,2023-10-16,False
,2023-10-17,False
,2023-10-18,False
,2023-10-19,False
,2023-10-20,False
,2023-10-21,True
,2023-10-22,True
,2023-10-23,False
,2023-10-24,False
,2023-10-25,False
,2023-10-26,False
,2023-10-27,False
,2023-10-28,True
,2023-10-29,True
,2023-10-30,False
,2023-10-31,False
,2023-11-01,True
,2023-11-02,False
,2023-11-03,False
,2023-11-04,True
,2023-11-05,True
,2023-11-06,False
,2023-11-07,False
,2023-11-07,False
,2023-11-07,False
,2023-11-07,False
,2023-11-07,False
,2023-11-08,False
