﻿Installation,ID client,Date,Courbe de charge (kWh)
LYCEE RESTAT - SERRE,P000387,2023-06-04 13:00:00,649.92
LYCEE RESTAT - SERRE,P000387,2023-06-04 14:00:00,471.67
LYCEE RESTAT - SERRE,P000387,2023-06-04 15:00:00,692.08
LYCEE RESTAT - SERRE,P000387,2023-06-04 16:00:00,724.00
LYCEE RESTAT - SERRE,P000387,2023-06-04 17:00:00,621.42
LYCEE RESTAT - SERRE,P000387,2023-06-04 18:00:00,27.17
LYCEE RESTAT - SERRE,P000387,2023-06-04 19:00:00,0.08
LYCEE RESTAT - SERRE,P000387,2023-06-04 20:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-04 21:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-04 22:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-04 23:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-05 00:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-05 01:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-05 02:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-05 03:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-05 04:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-05 05:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-05 06:00:00,2.58
LYCEE RESTAT - SERRE,P000387,2023-06-05 07:00:00,52.58
LYCEE RESTAT - SERRE,P000387,2023-06-05 08:00:00,239.75
LYCEE RESTAT - SERRE,P000387,2023-06-05 09:00:00,427.25
LYCEE RESTAT - SERRE,P000387,2023-06-05 10:00:00,582.08
LYCEE RESTAT - SERRE,P000387,2023-06-05 11:00:00,514.75
LYCEE RESTAT - SERRE,P000387,2023-06-05 12:00:00,666.67
LYCEE RESTAT - SERRE,P000387,2023-06-05 13:00:00,736.75
LYCEE RESTAT - SERRE,P000387,2023-06-05 14:00:00,764.08
LYCEE RESTAT - SERRE,P000387,2023-06-05 15:00:00,700.08
LYCEE RESTAT - SERRE,P000387,2023-06-05 16:00:00,702.17
LYCEE RESTAT - SERRE,P000387,2023-06-05 17:00:00,190.67
LYCEE RESTAT - SERRE,P000387,2023-06-05 18:00:00,122.25
LYCEE RESTAT - SERRE,P000387,2023-06-05 19:00:00,100.50
LYCEE RESTAT - SERRE,P000387,2023-06-05 20:00:00,46.42
LYCEE RESTAT - SERRE,P000387,2023-06-05 21:00:00,2.67
LYCEE RESTAT - SERRE,P000387,2023-06-05 22:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-05 23:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-06 00:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-06 01:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-06 02:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-06 03:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-06 04:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-06 05:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-06 06:00:00,5.83
LYCEE RESTAT - SERRE,P000387,2023-06-06 07:00:00,45.58
LYCEE RESTAT - SERRE,P000387,2023-06-06 08:00:00,117.08
LYCEE RESTAT - SERRE,P000387,2023-06-06 09:00:00,204.00
LYCEE RESTAT - SERRE,P000387,2023-06-06 10:00:00,443.83
LYCEE RESTAT - SERRE,P000387,2023-06-06 11:00:00,609.50
LYCEE RESTAT - SERRE,P000387,2023-06-06 12:00:00,714.50
LYCEE RESTAT - SERRE,P000387,2023-06-06 13:00:00,755.25
LYCEE RESTAT - SERRE,P000387,2023-06-06 14:00:00,571.83
LYCEE RESTAT - SERRE,P000387,2023-06-06 15:00:00,218.17
LYCEE RESTAT - SERRE,P000387,2023-06-06 16:00:00,96.58
LYCEE RESTAT - SERRE,P000387,2023-06-06 17:00:00,191.67
LYCEE RESTAT - SERRE,P000387,2023-06-06 18:00:00,141.08
LYCEE RESTAT - SERRE,P000387,2023-06-06 19:00:00,102.50
LYCEE RESTAT - SERRE,P000387,2023-06-06 20:00:00,57.58
LYCEE RESTAT - SERRE,P000387,2023-06-06 21:00:00,5.33
LYCEE RESTAT - SERRE,P000387,2023-06-06 22:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-06 23:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-07 00:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-07 01:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-07 02:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-07 03:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-07 04:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-07 05:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-07 06:00:00,6.25
LYCEE RESTAT - SERRE,P000387,2023-06-07 07:00:00,65.83
LYCEE RESTAT - SERRE,P000387,2023-06-07 08:00:00,229.25
LYCEE RESTAT - SERRE,P000387,2023-06-07 09:00:00,423.50
LYCEE RESTAT - SERRE,P000387,2023-06-07 10:00:00,553.92
LYCEE RESTAT - SERRE,P000387,2023-06-07 11:00:00,698.67
LYCEE RESTAT - SERRE,P000387,2023-06-07 12:00:00,744.00
LYCEE RESTAT - SERRE,P000387,2023-06-07 13:00:00,761.50
LYCEE RESTAT - SERRE,P000387,2023-06-07 14:00:00,711.75
LYCEE RESTAT - SERRE,P000387,2023-06-07 15:00:00,625.17
LYCEE RESTAT - SERRE,P000387,2023-06-07 16:00:00,523.50
LYCEE RESTAT - SERRE,P000387,2023-06-07 17:00:00,324.67
LYCEE RESTAT - SERRE,P000387,2023-06-07 18:00:00,238.58
LYCEE RESTAT - SERRE,P000387,2023-06-07 19:00:00,126.00
LYCEE RESTAT - SERRE,P000387,2023-06-07 20:00:00,69.75
LYCEE RESTAT - SERRE,P000387,2023-06-07 21:00:00,7.67
LYCEE RESTAT - SERRE,P000387,2023-06-07 22:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-07 23:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-08 00:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-08 01:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-08 02:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-08 03:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-08 04:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-08 05:00:00,0.00
